Index,Player,Pos,Age,Team,Birth Date
432,Rajon Rondo,PG,30,Chicago Bulls,22/02/1986
433,Derrick Rose,PG,28,New York Knicks,04/10/1988
434,Terrence Ross,SF,25,Toronto Raptors,05/02/1991
435,Terrence Ross,SF,25,Orlando Magic,05/02/1991
436,Terry Rozier,PG,22,Boston Celtics,17/03/1994
437,Ricky Rubio,PG,26,Minnesota Timberwolves,21/10/1990
438,Damjan Rudez,SF,30,Orlando Magic,17/06/1986
439,Brandon Rush,SG,31,Minnesota Timberwolves,07/07/1985
440,D'Angelo Russell,PG,20,Los Angeles Lakers,23/02/1996
441,Domantas Sabonis,PF,20,Oklahoma City Thunder,03/05/1996
442,Larry Sanders,C,28,Cleveland Cavaliers,21/11/1988
443,Dario Saric,PF,22,Philadelphia 76ers,08/04/1994
444,Tomas Satoransky,SG,25,Washington Wizards,30/10/1991
445,Dennis Schroder,PG,23,Atlanta Hawks,15/09/1993
446,Luis Scola,PF,36,Brooklyn Nets,30/04/1980
447,Mike Scott,PF,28,Atlanta Hawks,16/07/1988
448,Thabo Sefolosha,SF,32,Atlanta Hawks,02/05/1984
449,Wayne Selden,SG,22,New Orleans Pelicans,30/09/1994
450,Wayne Selden,SG,22,Memphis Grizzlies,30/09/1994
451,Kevin Seraphin,PF,27,Indiana Pacers,07/12/1989
452,Ramon Sessions,PG,30,Charlotte Hornets,11/04/1986
453,Iman Shumpert,SG,26,Cleveland Cavaliers,26/06/1990
454,Pascal Siakam,PF,22,Toronto Raptors,04/02/1994
455,Jonathon Simmons,SG,27,San Antonio Spurs,14/09/1989
456,Kyle Singler,SF,28,Oklahoma City Thunder,04/05/1988
457,Marcus Smart,SG,22,Boston Celtics,06/03/1994
458,Ish Smith,PG,28,Detroit Pistons,05/07/1988
459,J.R. Smith,SG,31,Cleveland Cavaliers,09/09/1985
460,Jason Smith,C,30,Washington Wizards,02/03/1986
461,Tony Snell,SG,25,Milwaukee Bucks,10/11/1991
462,Marreese Speights,C,29,Los Angeles Clippers,04/08/1987
463,Tiago Splitter,C,32,Philadelphia 76ers,01/01/1985
464,Nik Stauskas,SG,23,Philadelphia 76ers,07/10/1993
465,Lance Stephenson,SG,26,New Orleans Pelicans,05/09/1990
466,Lance Stephenson,SG,26,Minnesota Timberwolves,05/09/1990
467,Lance Stephenson,SG,26,Indiana Pacers,05/09/1990
468,Jarnell Stokes,C,23,Denver Nuggets,07/01/1994
469,Diamond Stone,C,19,Los Angeles Clippers,10/02/1997
470,Rodney Stuckey,PG,30,Indiana Pacers,21/04/1986
471,Jared Sullinger,PF,24,Toronto Raptors,04/03/1992
472,Edy Tavares,C,24,Atlanta Hawks,22/03/1992
473,Edy Tavares,C,24,Cleveland Cavaliers,22/03/1992
474,Isaiah Taylor,PG,22,Houston Rockets,11/07/1994
475,Jeff Teague,PG,28,Indiana Pacers,10/06/1988
476,Mirza Teletovic,PF,31,Milwaukee Bucks,18/09/1985
477,Garrett Temple,SG,30,Sacramento Kings,08/05/1986
478,Jason Terry,SG,39,Milwaukee Bucks,15/09/1977
479,Isaiah Thomas,PG,27,Boston Celtics,07/02/1989
480,Lance Thomas,PF,28,New York Knicks,24/04/1988
481,Hollis Thompson,SG,25,Philadelphia 76ers,03/04/1991
482,Hollis Thompson,SG,25,New Orleans Pelicans,03/04/1991
483,Klay Thompson,SG,26,Golden State Warriors,08/02/1990
484,Tristan Thompson,C,25,Cleveland Cavaliers,13/03/1991
485,Marcus Thornton,SG,29,Washington Wizards,05/06/1987
486,Mike Tobey,C,22,Charlotte Hornets,10/10/1994
487,Anthony Tolliver,PF,31,Sacramento Kings,01/06/1985
488,Axel Toupane,SF,24,Milwaukee Bucks,23/07/1992
489,Axel Toupane,SF,24,New Orleans Pelicans,23/07/1992
490,Karl-Anthony Towns,C,21,Minnesota Timberwolves,15/11/1995
491,P.J. Tucker,SF,31,Phoenix Suns,05/05/1985
492,P.J. Tucker,SF,31,Toronto Raptors,05/05/1985
493,Evan Turner,SF,28,Portland Trail Blazers,27/10/1988
494,Myles Turner,C,20,Indiana Pacers,24/03/1996
495,Beno Udrih,PG,34,Detroit Pistons,05/07/1982
496,Tyler Ulis,PG,21,Phoenix Suns,05/01/1996
497,Jarrod Uthoff,PF,23,Dallas Mavericks,19/05/1993
498,Jonas Valanciunas,C,24,Toronto Raptors,06/05/1992
499,Denzel Valentine,SG,23,Chicago Bulls,16/11/1993
500,Fred VanVleet,PG,22,Toronto Raptors,25/02/1994
501,Anderson Varejao,C,34,Golden State Warriors,28/09/1982
502,Greivis Vasquez,PG,30,Brooklyn Nets,16/01/1987
503,Rashad Vaughn,SG,20,Milwaukee Bucks,16/08/1996
504,Noah Vonleh,PF,21,Portland Trail Blazers,24/08/1995
505,Nikola Vucevic,C,26,Orlando Magic,24/10/1990
506,Sasha Vujacic,SG,32,New York Knicks,08/03/1984
507,Dwyane Wade,SG,35,Chicago Bulls,17/01/1982
508,Dion Waiters,SG,25,Miami Heat,10/12/1991
509,Kemba Walker,PG,26,Charlotte Hornets,08/05/1990
510,John Wall,PG,26,Washington Wizards,06/09/1990
511,Taurean Waller-Prince,SF,22,Atlanta Hawks,22/03/1994
512,T.J. Warren,SF,23,Phoenix Suns,05/09/1993
513,C.J. Watson,PG,32,Orlando Magic,17/04/1984
514,Briante Weber,PG,24,Golden State Warriors,29/12/1992
515,Briante Weber,PG,24,Charlotte Hornets,29/12/1992
516,David West,C,36,Golden State Warriors,29/08/1980
517,Russell Westbrook,PG,28,Oklahoma City Thunder,12/11/1988
518,Okaro White,PF,24,Miami Heat,13/08/1992
519,Isaiah Whitehead,PG,21,Brooklyn Nets,08/03/1995
520,Hassan Whiteside,C,27,Miami Heat,13/06/1989
521,Andrew Wiggins,SF,21,Minnesota Timberwolves,23/02/1995
522,C.J. Wilcox,SG,26,Orlando Magic,30/12/1990
523,Alan Williams,C,24,Phoenix Suns,28/01/1993
524,Deron Williams,PG,32,Dallas Mavericks,26/06/1984
525,Deron Williams,PG,32,Cleveland Cavaliers,26/06/1984
526,Derrick Williams,PF,25,Miami Heat,25/05/1991
527,Derrick Williams,PF,25,Cleveland Cavaliers,25/05/1991
528,Lou Williams,SG,30,Los Angeles Lakers,27/10/1986
529,Lou Williams,SG,30,Houston Rockets,27/10/1986
530,Marvin Williams,PF,30,Charlotte Hornets,19/06/1986
531,Reggie Williams,SF,30,New Orleans Pelicans,05/03/1964
532,Reggie Williams,SF,30,New Orleans Pelicans,14/09/1986
533,Troy Williams,SF,22,Memphis Grizzlies,30/12/1994
534,Troy Williams,SF,22,Houston Rockets,30/12/1994
535,Kyle Wiltjer,PF,24,Houston Rockets,20/10/1992
536,Justise Winslow,SF,20,Miami Heat,26/03/1996
537,Jeff Withey,C,26,Utah Jazz,07/03/1990
538,Christian Wood,PF,21,Charlotte Hornets,27/09/1995
539,Metta World Peace,SF,37,Los Angeles Lakers,13/11/1979
540,Brandan Wright,PF,29,Memphis Grizzlies,05/10/1987
541,Delon Wright,PG,24,Toronto Raptors,26/04/1992
542,James Young,SG,21,Boston Celtics,16/08/1995
543,Joe Young,PG,24,Indiana Pacers,27/06/1992
544,Nick Young,SG,31,Los Angeles Lakers,01/06/1985
545,Thaddeus Young,PF,28,Indiana Pacers,21/06/1988
546,Cody Zeller,PF,24,Charlotte Hornets,05/10/1992
547,Tyler Zeller,C,27,Boston Celtics,17/01/1990
548,Stephen Zimmerman,C,20,Orlando Magic,09/09/1996
549,Paul Zipser,SF,22,Chicago Bulls,18/02/1994
550,Ivica Zubac,C,19,Los Angeles Lakers,18/03/1997
